,historical,forecast
2025-03-02,560468.0,
2025-03-09,0.0,
2025-03-16,0.0,
2025-03-23,0.0,
2025-03-30,0.0,
2025-04-06,38336.0,
2025-04-13,0.0,
2025-04-20,0.0,
2025-04-27,0.0,
2025-05-04,75222.0,
2025-05-11,0.0,
2025-05-18,0.0,
2025-05-25,0.0,
2025-06-01,88491.0,
2025-06-08,0.0,
2025-06-15,0.0,
2025-06-22,0.0,
2025-06-29,0.0,
2025-07-06,147825.0,
2025-07-13,0.0,
2025-07-20,0.0,
2025-07-27,0.0,
2025-08-03,0.0,
2025-08-10,0.0,
2025-08-17,0.0,
2025-08-24,0.0,
2025-08-31,0.0,
2025-09-07,334315.0,
2025-09-14,304032.0,
2025-09-21,206058.0,
2025-09-28,0.0,
2025-10-05,0.0,
2025-10-12,0.0,
2025-10-19,163277.0,
2025-10-26,154599.0,
2025-11-02,309436.0,
2025-11-09,292329.0,
2025-11-16,286108.0,
2025-11-23,77290.0,
2025-11-30,128616.0,
2025-12-07,202831.0,
2025-12-14,186146.0,
2025-12-21,133077.0,
2025-12-28,155845.0,
2026-01-04,28017.0,
2026-01-11,,86051.51111111112
2026-01-18,,86051.51111111112
2026-01-25,,86051.51111111112
2026-02-01,,86051.51111111112
2026-02-08,,86051.51111111112
2026-02-15,,86051.51111111112
2026-02-22,,86051.51111111112
2026-03-01,,86051.51111111112
2026-03-08,,86051.51111111112
2026-03-15,,86051.51111111112
2026-03-22,,86051.51111111112
2026-03-29,,86051.51111111112
